서울특별시 종로구,서울특별시 용산구,서울특별시 송파구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 남구,부산광역시 해운대구,부산광역시 사하구,부산광역시 강서구,부산광역시 수영구,부산광역시 기장군,대구광역시 중구,대구광역시 동구,대구광역시 수성구,인천광역시 중구,인천광역시 연수구,인천광역시 강화군,광주광역시 서구,대전광역시 중구,대전광역시 유성구,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,경기도 수원시 팔달구,경기도 안산시 단원구,경기도 용인시 처인구,경기도 파주시,경기도 이천시,경기도 광주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 고성군,강원도 양양군,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 단양군,충청남도 천안시 동남구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 당진시,충청남도 부여군,충청남도 서천군,충청남도 홍성군,충청남도 예산군,충청남도 태안군,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 완주군,전라북도 무주군,전라북도 고창군,전라북도 부안군,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 영광군,전라남도 완도군,전라남도 진도군,전라남도 신안군,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 상주시,경상북도 문경시,경상북도 청송군,경상북도 영덕군,경상북도 울진군,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 창녕군,경상남도 남해군,경상남도 하동군,경상남도 함양군,제주특별자치도 제주시,제주특별자치도 서귀포시
224630,177816,231380,53648,62331,37803,145037,72823,144907,57274,81204,85355,89106,133045,105460,109387,106368,92469,35838,92431,82664,115787,59710,97748,30872,55501,122067,131429,91335,110405,88130,108663,66847,53679,19609,74270,70883,64505,65380,95360,28272,13825,71682,35628,42300,35195,19347,46798,18050,16177,41581,53818,72679,56604,52041,30602,11805,17906,85701,50919,35769,76022,41189,36900,43020,21071,20232,25910,29286,42883,76827,73094,55139,50952,23118,21953,39884,16792,19512,25826,54454,69740,46972,34627,27234,30434,11151,13787,13636,26693,10503,11402,19682,23856,29896,16674,15053,11304,16343,69256,65796,94425,27390,40937,60858,19726,28540,22405,11848,24084,20584,58297,42520,37829,101191,31467,65263,18742,23857,15518,12296,149824,0
236770,183274,238580,53976,62718,38460,149202,73760,148240,59504,83457,84570,89396,137086,113832,111968,107557,95342,33323,95474,84685,119526,63998,99229,31272,56262,122573,135030,96022,114225,89590,113877,67514,58073,20225,70025,71075,61109,64096,89246,28479,13360,65023,34298,45498,32917,17507,40780,17222,15988,38708,48920,75543,56210,52789,30473,13080,17127,89227,52320,32948,78026,42591,33190,44360,21980,21297,25031,30571,39299,76101,74079,56890,51688,23909,20919,41268,15103,19695,23640,55325,61883,44442,37130,26729,31894,10372,11678,12892,27047,10240,10840,18163,24965,31129,16084,10973,8965,13686,69888,65946,93144,28434,40935,62553,19389,29397,22315,11614,22964,18708,52759,39668,37761,101379,31068,61556,19186,19356,14971,11838,129103,95403
225513,180891,232264,45583,56728,31591,131549,62973,130818,51463,59902,73244,73906,126976,106388,108358,93503,89072,26482,82123,80242,113233,56100,90033,25728,51139,115540,122037,93684,109479,83757,106998,61795,51258,18064,58326,59714,57389,54075,75840,25141,11192,53640,27566,33923,29071,14435,31531,13877,14704,30774,37412,72162,51831,47359,25486,10665,13616,82324,43513,24041,73411,35476,29136,37744,17558,16111,22059,25559,25047,68820,67008,46987,47573,19844,16002,34234,10972,13734,15583,43253,43269,35525,28072,21506,21701,6647,6935,8071,19272,6443,6217,10268,16634,22268,11063,6101,4734,6270,63631,57320,75663,25018,35784,58367,17676,24213,18440,9430,17138,15248,43926,28151,28255,85193,22075,47959,15062,11676,9683,7648,79138,59664
198683,158245,216871,46860,57030,34605,132337,69756,133368,52965,73634,75231,77325,126524,109283,108736,84042,83258,21286,93419,81331,115253,57976,91334,27286,51994,108973,115507,79795,93123,74143,93980,50697,42540,14004,44278,47671,50851,48913,69326,23190,10516,49016,24977,27834,24037,11970,27736,12325,11637,26728,33209,70576,54656,44333,24231,9668,11915,78732,42765,23482,70331,31957,33302,33832,17491,16711,21486,24532,23146,80355,74596,52754,53379,21818,17740,36016,10434,14683,17010,58501,54708,40749,34307,26068,26006,7059,10469,10503,24885,9371,9107,16534,21890,29185,13501,10003,9232,10466,62660,57712,76379,25314,35773,58611,17302,24381,17705,8675,15892,14099,47560,30465,29759,86232,21665,49196,16337,13562,10431,8667,147248,94579
233817,202596,254768,50514,64317,39103,152158,77519,145168,61302,82830,85003,88631,141755,123526,122610,110017,99268,33039,99397,91358,129367,63220,104434,31483,58745,127239,132787,98521,112866,92571,117379,66394,57644,18564,62675,68701,64111,64507,85138,27816,12827,59616,31273,39615,33975,17470,39729,15314,16268,34578,45039,79980,60639,57303,31703,12097,16737,90883,54052,32798,80876,42148,34978,43900,22598,21371,26810,30938,35569,87482,81147,60406,59266,25466,21960,41553,14832,20623,23142,60771,64339,43704,37918,27946,30026,9478,14037,12714,28048,11126,11822,19665,25311,33017,17219,12945,10021,15136,71775,70429,92250,30044,42862,67133,20637,30000,22734,10960,22579,19401,55918,37794,36131,100650,29865,58236,19071,18616,12848,11202,137604,
181251,174263,236845,49032,56711,43508,164527,79725,164727,67967,85758,94609,122422,152887,151977,141113,137584,110828,66120,93883,101276,137593,66987,106118,37799,74631,130024,135414,101705,146847,94125,137304,89580,68895,29409,108880,110808,86909,70995,109707,34158,13877,77939,40988,59186,46538,28016,55144,21608,23192,49410,67466,81649,64266,70639,43871,17753,26111,95941,70708,50808,85705,53136,45366,56509,29214,30191,33817,40213,61086,88190,79199,69855,59881,28521,29861,51127,24636,26014,34099,59687,70788,42157,40412,26887,37730,12827,20268,17575,31254,13962,14939,23106,26111,38704,23100,15925,11304,20117,87536,96935,134012,38430,52629,73148,25584,37306,31289,18173,39865,27465,68464,54881,49861,112342,55132,78201,26126,31371,21145,18031,124245,0
137036,141419,187992,47396,46124,36891,127038,66627,143114,59213,76295,80624,125118,108109,134100,109385,135995,94806,67808,72139,85139,114915,59333,81960,37310,66897,103452,123360,93505,140998,85606,135841,92104,69971,31401,114550,131275,81236,65090,98905,30388,12684,68674,37065,62266,45949,25197,47307,19126,23584,40230,60226,69892,56636,67460,41576,19199,23978,92357,69323,51251,77959,52347,43644,58858,30265,32182,29879,40592,60876,73576,62713,70678,53973,27130,28887,55194,25850,27210,37205,51803,65735,38685,36953,25274,45360,15148,20195,17922,33806,13101,14291,22501,23361,34893,25799,15463,11180,21541,82644,92817,134394,39608,48478,66298,24231,36534,30210,19501,42419,27039,58730,54199,48038,101245,59364,74782,25353,30524,22892,19616,123740,
213225,172902,229214,52668,59066,36551,144529,74272,129299,60225,78431,76499,82368,123960,104492,107996,102842,90474,31281,85670,82948,121655,56219,93892,28542,50823,114422,115167,92929,115382,85263,109254,63852,51489,19816,57320,61878,61767,57478,70156,23234,10448,46319,24566,31986,27243,14281,28858,12729,16332,25596,34839,75287,55973,52594,28141,12175,13238,86902,48891,31083,76199,39901,37338,42576,20260,19832,25990,28095,34500,73368,71880,53915,50601,22962,19237,36673,12602,18792,21568,49261,56100,40637,33610,25909,25974,8278,12625,11825,24373,9919,10148,17902,22426,28422,16148,11846,10400,15884,64036,60612,76412,27751,39570,61592,18148,27244,20410,9698,17012,14241,52638,33692,33188,96602,27668,52481,17860,16207,12353,9844,116844,
210464,157339,205779,45256,54653,32237,127306,63602,111378,48853,73633,68589,70116,114489,89300,92900,93643,75995,28839,77029,73360,107577,50102,85315,29170,48634,99732,102188,83824,100197,75211,100630,57857,47012,17036,51624,61480,51562,46684,63453,19795,9291,41245,23011,26881,24694,12780,25464,11277,11684,22729,32347,67904,47869,42935,24094,10942,11859,78052,44688,30663,64554,33683,28380,38630,17806,18303,24012,25931,31895,63575,62209,45249,42473,19745,15959,36540,10810,16313,17528,44289,47280,32213,31209,21493,23989,6717,9719,10784,22194,8547,8937,15516,23830,25560,14155,9212,9915,14156,57257,52548,65901,24266,32218,52633,15127,23866,17166,8344,14906,12049,42217,25046,31047,79954,23340,40092,16123,11777,10449,7971,0,
191410,147892,189964,36305,46252,24709,102687,50056,91810,39546,50627,52601,51442,100357,82114,85577,79488,71148,21759,75403,68979,101197,42155,72595,24441,40748,91637,94787,70889,87196,65086,81307,47511,38153,12070,39770,43566,44377,42436,51306,15869,7840,32729,16376,20580,19335,9877,17657,8775,8951,16808,23613,63710,42580,36400,20687,7888,8730,70682,39510,21936,61260,30410,24826,32757,14632,15472,20489,23051,24001,63978,61941,41358,41398,17589,13983,32347,7824,12671,12885,40801,35727,28494,26330,17900,20093,5236,6458,8082,18469,7115,7178,11763,20903,21349,11008,6162,5880,9724,47740,43072,53626,20089,28682,48248,13230,19364,14130,6114,9641,8269,35589,18161,22643,66253,16903,31327,12839,7114,7629,6381,59720,
202757,155553,202718,48557,57758,32625,118424,62526,110312,47680,69481,63563,67693,111845,90111,94301,84986,71997,22819,79741,72331,107190,60096,93399,29863,62567,98338,98199,72513,93606,63514,88020,46543,37662,12251,36750,44834,42892,40204,47244,15710,6698,30401,17487,18355,17182,8861,15554,7697,8178,15245,20357,65958,46840,36156,19361,8042,8191,73944,41029,21065,63112,30995,26446,33958,15618,16346,20749,23660,24150,65955,63599,42873,42197,18114,14685,34542,7945,14473,14059,44510,42847,31831,30300,20365,23582,5978,8452,9839,22821,8057,8404,14178,22784,24332,12328,8465,8667,12330,55101,51388,63289,22114,28881,50504,13607,20780,14704,6795,10398,10159,38600,22204,26032,75825,19705,37496,15116,9253,8592,6840,0,
250525,201754,247976,49389,64188,38948,153485,78025,131361,60124,89695,82452,85560,138814,110100,112026,118089,89504,38760,89810,86145,127535,57643,98628,35348,57506,119309,121332,99746,121433,93076,122709,70075,60653,19232,63796,78499,65107,60561,75380,22611,10429,49591,24808,35737,31499,15740,31542,13237,14228,27578,38123,79776,56683,52103,29629,12497,15055,89928,54683,33360,78884,42026,33597,48428,21142,21518,26982,30727,43880,75737,71405,51289,50736,23717,20125,42281,13485,19929,21203,50657,53771,39726,36332,24434,28808,7952,12356,13133,25271,9978,11328,18194,26371,29542,15984,10497,9329,15413,65865,64814,84349,26933,38324,61959,18842,29186,21236,9882,17590,12691,50871,31371,35643,95645,27820,50189,19129,15674,12658,10391,,
206850,182357,240309,37932,52889,35909,154312,69980,145087,54869,71209,86436,98491,151712,138627,128472,170346,109973,78030,95450,99070,137726,57056,89438,28171,60382,132255,143375,113331,169181,98687,158163,102385,84233,33586,116801,137284,90171,75011,104556,30620,12554,75819,33383,58468,49404,25953,50888,19715,22720,43632,61314,82669,63524,70442,43887,20613,25048,102622,78084,64621,87444,62182,45860,74527,33584,35802,37110,44656,83350,88621,73283,72418,56583,29773,26240,52556,23006,28356,38636,59324,57466,44090,42412,23720,42275,11476,16838,17874,33394,12930,13609,22181,26968,37833,23855,12398,10594,21017,75724,80207,105395,34957,48350,68115,25501,36480,29608,15335,28622,18449,60301,39918,43436,100078,38062,56324,23173,22010,18413,16656,94412,
143014,139483,172650,34411,42827,29504,115495,54220,121425,43863,54995,67220,100669,102855,123729,97528,136519,88917,70165,76155,80391,107205,46838,69357,23957,50458,99953,127643,91282,143997,86249,141239,87404,96494,29290,111306,139774,73897,63667,74542,22262,9603,56190,24569,51548,42364,21204,39411,14620,19329,31697,50237,68649,51293,58680,35362,17435,19772,90853,66257,51735,72719,56281,38850,71343,29222,30287,31319,39942,66968,78082,63579,69557,54877,25218,22418,46318,19407,24839,31777,55823,45224,38835,36088,21550,39088,9460,11998,14318,29073,9742,11302,17398,21086,32669,22595,9285,8730,16852,58071,63033,86774,30150,40749,56788,20698,29546,23732,12466,19548,13370,46604,30454,34667,85121,33362,44893,19878,15396,14536,12119,98739,0
174670,135762,185575,33044,41926,22111,98351,48500,89531,39463,44026,54186,45894,98861,81771,86253,60205,63833,14743,80293,71533,99410,42322,68009,20615,39191,88844,94398,59586,76705,56262,70436,38386,28850,9756,29123,33429,41065,42542,33781,11953,5683,21268,11961,15857,13513,7060,12442,5890,8877,10552,13909,61476,44146,31622,17445,6801,6307,67884,34104,15481,56444,26271,27626,26352,12246,12329,17258,19203,16767,66038,62642,38100,41758,15739,13310,27296,6473,11961,10768,45395,36599,34509,27200,19822,18142,4539,6309,7827,17735,6492,7216,11424,18883,21746,9380,6901,6794,9781,41179,37876,43923,18311,25235,46252,12110,16585,11690,4613,6606,5914,38271,17888,22392,62882,13475,30200,11215,6988,6934,5497,81276,0
250941,178625,232035,50066,62256,35310,150572,72869,123179,54559,80330,76302,77577,134035,102207,105855,97090,84975,28509,88171,82262,120252,56934,94520,32747,51759,113455,120813,90667,110607,80529,107259,56662,48390,16098,41431,57766,53204,53004,51325,19348,9219,32940,19788,22810,21241,10498,18797,8971,11882,16842,22309,75209,55314,44195,24249,10613,10634,85675,46237,24689,72536,36594,30421,39931,18705,18824,24322,27255,28691,73757,71314,48242,48341,21501,16827,38038,9570,18443,15585,50533,50181,39607,34351,24115,25807,6905,11058,11846,26086,9203,10025,17599,25644,28918,15071,11917,11418,13733,61712,57011,69890,25025,36358,58144,16196,24820,19477,8225,12611,9925,47096,26498,30993,92296,23850,43118,18327,11806,11058,8500,99647,70427
237494,172159,226339,51089,61021,35422,148305,72774,123871,56248,82175,77720,80029,133589,103083,107472,95868,83347,26912,85819,81454,118560,55675,97005,33032,49277,107617,120436,87579,105215,81067,99750,56679,48807,15394,43072,53637,53401,51280,58815,20903,10240,38012,22972,24670,22400,11893,22273,10288,13128,21167,29354,75733,54616,45472,24265,10301,11415,86198,46058,28567,73332,37789,30414,41149,17810,19512,25195,27459,31290,73883,70391,48331,47619,21028,17282,36555,9607,16404,15616,46423,52727,40092,34646,25416,23827,6940,11770,12282,23623,9382,10393,17176,24894,27926,14735,12021,9230,13344,63115,58761,74334,25885,37057,58665,17081,24863,17722,8905,15541,12417,47485,29942,32952,95144,25845,46720,18287,13708,11245,8790,104375,79165
255813,186970,242552,53117,63948,37668,157400,75274,130441,57923,85491,82059,82515,137768,108008,109705,108212,91575,32424,95346,83131,126056,57762,97722,32255,54362,117530,124904,101096,118653,88640,115028,63014,55514,18864,51377,63970,58458,55010,65147,22399,10844,41565,24616,33885,25809,12873,26571,12240,14096,23552,32569,79923,57707,49167,26424,11717,13543,90507,50787,36250,78128,41248,36572,47148,20858,22655,25654,29918,35387,84554,78197,57467,56120,24035,19368,39867,11620,19065,19409,53655,60143,46338,38415,27772,27341,7710,12409,12841,26406,10115,11014,18069,27245,31277,16923,13055,10557,15328,66541,60523,76538,27962,38974,60227,18545,27646,19756,9811,17120,13235,49570,32495,33936,97474,26376,50292,18925,15531,12531,10186,130879,0
