서울특별시 종로구,서울특별시 용산구,서울특별시 송파구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 남구,부산광역시 해운대구,부산광역시 사하구,부산광역시 강서구,부산광역시 수영구,부산광역시 기장군,대구광역시 중구,대구광역시 동구,대구광역시 수성구,인천광역시 중구,인천광역시 연수구,인천광역시 강화군,광주광역시 서구,대전광역시 중구,대전광역시 유성구,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,경기도 수원시 팔달구,경기도 안산시 단원구,경기도 용인시 처인구,경기도 파주시,경기도 이천시,경기도 광주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 고성군,강원도 양양군,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 단양군,충청남도 천안시 동남구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 당진시,충청남도 부여군,충청남도 서천군,충청남도 홍성군,충청남도 예산군,충청남도 태안군,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 완주군,전라북도 무주군,전라북도 고창군,전라북도 부안군,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 영광군,전라남도 완도군,전라남도 진도군,전라남도 신안군,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 상주시,경상북도 문경시,경상북도 청송군,경상북도 영덕군,경상북도 울진군,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 창녕군,경상남도 남해군,경상남도 하동군,경상남도 함양군,제주특별자치도 제주시,제주특별자치도 서귀포시
122357,110152,154818,38939,34557,31984,104718,56109,139984,50596,59050,70095,139664,76597,108863,90258,146962,81742,60814,80390,71256,90974,47768,67800,34008,56380,89304,108789,71363,131154,68495,101872,63945,58561,21998,67223,88665,68750,60632,93600,25946,12099,74126,31150,34829,34998,15191,41271,12945,16707,38585,60746,57535,41124,50075,24972,13304,16406,69594,54645,47746,64422,44208,32754,51421,25422,22107,28063,32795,44052,71975,56440,59465,44079,24900,20740,31303,18446,20014,31020,59653,73390,51762,29664,24869,37465,12684,21661,18787,24050,13303,12822,19853,18047,28116,16844,15261,12557,14503,73605,82887,115906,26547,36281,52998,19049,24235,22710,12411,60091,33965,46156,60092,47961,90395,44991,70810,26353,35019,17634,13072,85590,
155363,123963,186799,39127,40502,34938,138061,58918,166720,53414,60037,81216,120642,127129,126201,103086,127597,89046,56960,111890,90172,107213,53846,84732,31622,60159,111709,114848,73205,130882,72328,100805,66516,60570,21690,65817,89787,72381,66836,88218,23116,12040,67453,27155,33664,32242,14608,37585,12628,16356,30291,52424,71231,47205,50296,27804,12716,16696,83547,52368,49458,71090,47806,34301,54380,25910,22800,30622,34860,46008,89493,69772,64243,49931,26051,23076,34611,18454,22915,30913,65087,70553,58437,33994,25896,42338,13227,20421,19050,27567,15453,14281,20010,20062,35834,19054,15968,11328,16024,70733,79300,103945,26059,37663,54641,20099,23809,22993,11581,38185,26137,51106,60237,43503,97591,45073,65472,25115,30155,17021,13177,93355,76190
123084,107893,153817,34228,37205,26895,99676,47174,130415,41314,53378,59368,101820,86917,114744,82431,94260,69561,43014,82039,72878,90019,43241,64485,24235,47963,88829,88113,61588,103093,55746,81897,50875,45321,15914,43804,62047,51207,50888,56704,16759,8683,39393,19844,22989,22468,10342,24787,8243,12719,18427,30417,58241,40129,38212,20848,11315,11348,73959,46537,37019,56609,37205,27916,40833,20948,17879,23862,29337,30539,66543,54862,50381,40177,20523,17851,30548,15096,20077,23563,50205,52231,45149,29670,21393,37576,11203,14559,14785,27155,11041,11147,15452,18179,29605,17032,12497,8795,14885,54267,59260,81618,23244,30371,47789,15256,21783,19616,10006,26255,17006,40951,41551,31240,81223,36885,48885,22301,20310,13641,10290,85383,70528
199974,130913,192314,40731,47808,25811,118759,51155,104280,40928,58710,55721,59004,112492,81419,81523,67141,63902,18583,91584,70156,92884,46714,78420,20943,38643,94786,91733,63143,76948,59741,71000,38960,33549,10455,25070,35307,37065,43554,40424,13524,7449,26073,14747,15312,14555,7302,15173,6319,8816,12131,17506,59889,40019,29785,16831,6794,6457,66868,32297,19378,53175,26197,27152,27609,13338,12139,19720,20538,15538,66586,62937,35505,38251,17467,13156,26676,9786,12474,11793,46293,42604,39415,28347,20728,20562,5344,8912,9384,18872,7630,8667,13400,17825,22755,11436,9695,8472,9529,47906,43875,49166,17554,25059,46368,12962,16656,13283,5561,13058,10114,41221,25077,22553,71463,18834,33587,13735,11171,7357,6237,81671,60899
209175,134496,200205,41406,48317,27052,122706,54056,107203,40533,60800,57117,59291,115983,81244,80904,70458,66789,18604,92513,70264,94232,49424,79710,21650,38911,95121,96552,68314,80487,63340,75937,40274,34201,10622,24927,36048,37830,42662,41256,13575,7416,26221,14966,14958,14777,7085,16135,7122,8494,12600,17111,62200,40956,31049,15928,7080,6918,68591,33015,19768,55327,27972,22719,29802,13564,12419,19922,21933,15176,66694,63627,35212,38775,17477,13195,28053,9019,12734,11406,46465,43812,38937,29030,21542,21168,5456,9201,9100,19618,8326,8487,14290,18375,23639,11409,10195,8440,8785,48720,43289,50372,18924,26411,48855,12615,16702,13331,5883,13429,10225,36372,24649,23184,74677,19149,34659,14256,10706,7573,6356,76351,60604
211167,159856,207217,40693,47364,26564,116120,53684,105809,40766,58654,56163,57291,112584,83159,82409,70055,69924,16894,91636,71050,95535,46368,79557,21307,39545,98880,96192,66777,79222,63856,77754,39678,33432,11023,24294,35286,37059,41548,39863,13531,7004,24415,14182,14760,14389,7262,15057,7258,8550,11431,15277,64094,41209,30643,15565,7147,6485,68570,33204,18811,55452,27527,23237,29898,13094,12438,19859,20500,14628,66977,63638,36007,38431,16765,13194,27920,9142,12013,11525,44140,42584,38698,27995,22471,20552,5170,9283,9066,18653,7872,8608,12908,17098,21902,10666,9029,6702,7574,47635,42846,49589,18147,25789,50294,12346,17175,13468,5792,12076,9063,36829,24039,23457,75068,18535,32982,14521,9996,7090,6075,73798,58836
172908,120124,180249,38567,44503,25150,109912,51381,101592,38861,54617,53545,53378,103606,77694,77242,57193,58239,11219,63803,59495,81127,42106,73459,19202,37560,85306,79438,52611,65111,51553,55265,31337,23579,8894,18376,22560,32682,36506,35750,12658,6108,21413,12030,11729,12047,5491,13294,6280,7735,9627,12912,56978,35032,24200,13132,4920,5211,56634,24375,12140,45472,18958,16542,21731,8793,7673,12714,14399,9523,49112,52588,23811,28797,10592,9164,19533,6779,7155,6181,32301,34401,31066,16866,18487,9753,3507,5961,5442,10143,4655,5066,7316,11752,14974,5700,5484,3876,4594,43300,37776,43251,16182,22034,43068,10589,14267,10336,4406,9582,7450,34963,21445,21625,69634,16112,30513,13187,7706,6029,4928,51362,38282
186657,142924,201569,36475,48998,26250,118608,55187,112386,42256,57951,58041,56141,110681,90558,86749,65605,70927,14984,86348,71896,98073,47034,80868,21257,41871,95277,92910,61785,76520,59585,66099,36959,31583,10038,23362,30961,40111,45140,40647,14481,6752,24883,13521,15413,14228,6763,17623,6912,8473,10634,15801,66863,41034,29985,15441,6112,6311,69486,30501,15658,54579,23628,20682,26071,10735,9804,16345,18281,11938,63784,62841,30088,34770,14031,11421,23677,9712,8816,7863,40069,40169,38486,22290,21567,15478,4627,7347,7322,14168,6258,6487,8971,13746,18288,7379,7222,4825,5066,47358,42702,49927,18625,25824,49017,11670,16174,12799,5264,11297,8569,39168,24447,24155,77349,18769,34446,14988,9089,7030,5591,49535,34254
169077,143631,219270,35931,46143,32381,145361,60317,152721,49189,56828,75480,93176,133990,122834,102284,91862,92256,31239,111358,91392,118245,52097,86878,23764,54416,126121,106633,67133,104401,66049,84767,50324,42494,14694,38043,55438,54056,58193,57220,17758,8766,36920,16908,23190,22917,8485,28573,9300,11788,15714,23862,76464,49368,36790,19443,7921,8949,81949,41316,26867,63941,30782,27452,33972,16311,14317,22291,24023,18122,82506,68269,41551,41853,18928,16683,29637,18256,12822,14174,48246,46930,47140,27895,24097,28378,7283,10195,10804,20902,8114,8272,10980,14406,24516,10506,8550,7063,6522,58804,59215,70218,21111,31429,52548,14573,17613,14674,9065,21256,11852,46991,35346,31571,93987,30104,44627,19755,14804,10505,8081,60384,38965
135664,118167,170310,36129,37164,25887,106845,47954,128533,43021,51981,55649,109059,100596,113906,81159,86091,74489,36256,78916,72024,91568,50338,69868,23342,51106,98538,82323,63085,102551,56945,79608,47912,41667,15834,39040,57759,49434,52017,53851,15954,8334,34103,18073,22463,22025,8040,28578,9580,12457,16380,24004,61298,41195,33502,17246,8698,9759,70490,42101,28129,51822,29952,25714,34516,17219,14491,21245,25622,19282,64216,54930,40557,36006,17612,16077,29337,20079,14132,16403,42559,45440,40000,26607,21645,33696,8169,11467,11148,22344,8211,8181,11608,13901,22145,12191,10253,7994,8264,51497,59224,76201,21902,29599,47135,13608,17368,14536,11644,24850,13785,38097,35258,29738,86232,34660,45610,21346,16174,11350,8802,67576,48889
