fstvlNm,fstvlStartDate,fstvlEndDate,rdnmadr,lnmadr,addr,latitude,longitude
서울장미축제,2023-05-13,2023-05-28,서울특별시 중랑구 중랑천로 332,서울특별시 중랑구 묵동 378,서울특별시 중랑구 중랑천로 332,37.6143375,127.073492
자연산 광어.도미 축제,2023-05-13,2023-05-28,충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,충청남도 서천군 서면 서인로,36.1458964,126.5323022
2023년 강남심포니오케스트라 제98회 정기연주회,2023-05-17,2023-05-17,서울특별시 송파구 올림픽로 300 롯데월드몰,,서울특별시 송파구 올림픽로 300,37.5131008,127.1034334
음성품바축제,2023-05-17,2023-05-21,충청북도 음성군 음성읍 설성공원길 28,충청북도 음성군 음성읍 읍내리 817-242,충청북도 음성군 음성읍 설성공원길,36.9320257,127.6907412
제24회음성품바축제,2023-05-17,2023-05-21,충청북도 음성군 음성읍 예술로 102,충청북도 음성군 음성읍 읍내리 366-17,충청북도 음성군 음성읍 예술로,36.934472,127.6832295
황룡강 (洪)길동무 꽃길 축제,2023-05-19,2023-05-21,,"전라남도 장성군 장성읍 기산리 461-1, 전라남도 장성군 황룡면 홍길동로 431",전라남도 장성군 장성읍 기산리,35.3041909,126.7728683
상화문학제,2023-05-19,2023-05-21,대구광역시 수성구 들안로16길 78,대구광역시 수성구 두산동 30,대구광역시 수성구 들안로16길 78,35.8393217,128.6183129
제34회 화도진축제,2023-05-19,2023-05-20,인천광역시 동구 참외전로 125 (동인천역 광장),인천광역시 동구 송현동 70-10,인천광역시 동구 참외전로 125,37.475038,126.6325552
장미꽃 필(feel)무렵,2023-05-19,2023-05-21,,대구광역시 달서구 이곡동 1306-6,대구광역시 달서구 이곡동 1306-6,35.8579682,128.5147257
제18회 해운대 모래축제,2023-05-19,2023-05-22,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
퍼플섬 라벤더 축제,2023-05-19,2023-06-06,전라남도 신안군 안좌면 소곡두리길 257-35,,전라남도 신안군 안좌면 소곡두리길,34.7237405,126.1204192
여주도자기축제,2023-05-19,2023-05-29,경기도 여주시 신륵사길 7,경기도 여주시 천송동 303-3,경기도 여주시 신륵사길 7,37.3000521,127.656749
<2023 피크닉 콘서트 - We Go Together Concert>,2023-05-20,2023-05-20,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 28-6,경기도 용인시 처인구 동백죽전대로,37.2516527,127.1659836
부산원도심골목길축제,2023-05-20,2023-05-21,부산광역시 중구 중구로 120(대청동1가),부산광역시 중구 대청동1가 1-4,부산광역시 중구 중구로 120,35.1063116,129.0323982
삼척장미축제,2023-05-20,2023-05-24,강원도 강원도 삼척시청 오십천로 536,강원도 강원도 삼척시청 정상동 232,강원도 강원도 삼척시청 오십천로,37.4399562,129.1515091
곡성세계장미축제,2023-05-20,2023-05-29,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,전라남도 곡성군 오곡면 기차마을로,35.2741688,127.3115193
아라뱃길 카약축제,2023-05-20,2023-05-20,인천광역시 서구 정서진1로 41,인천광역시 서구 오류동 1563,인천광역시 서구 정서진1로 41,37.557851,126.6066236
제5회 명품한강 장미축제,2023-05-20,2023-05-20,서울특별시 광진구 자양번영로3길 66,,서울특별시 광진구 자양번영로3길 66,37.5328453,127.071659
제27회 제주국제관광마라톤축제,2023-05-21,2023-05-21,제주특별자치도 제주시 구좌읍 김녕로 209,,제주특별자치도 제주시 구좌읍 김녕로,33.5541269,126.7553151
황영조 국제 마라톤 대회,2023-05-21,2023-05-21,강원도 강원도 삼척시청 엑스포로 45,강원도 강원도 삼척시청 성남동 1-5,강원도 강원도 삼척시청 엑스포로,37.4367707,129.1549656
지구촌 어울림 축제,2023-05-21,2023-05-21,경기도 성남시 중원구 성남대로 997,경기도 성남시 중원구 여수동 200,경기도 성남시 중원구 성남대로,37.4239246,127.1289848
제16회 용수골꽃양귀비축제,2023-05-23,2023-06-11,강원도 원주시 한지공원길 151,강원도 원주시 판부면 서곡리 1632-2,강원도 원주시 한지공원길 151,37.3349482,127.9350851
제93회 춘향제,2023-05-25,2023-05-29,전라북도 남원시 요천로 1447,전라북도 남원시 천거동 78,전라북도 남원시 요천로 1447,35.402251,127.3795745
농다리 축제,2023-05-26,2023-05-28,,충청북도 진천군 문백면 구곡리 601-32,충청북도 진천군 문백면 구곡리,36.831045,127.488867
생거진천농다리축제,2023-05-26,2023-05-28,충청북도 진천군 문백면 농다리로 1032-11,충청북도 진천군 문백면 구산동리 135,충청북도 진천군 문백면 농다리로,36.808716,127.4668307
대천해수욕장 조개구이 한마당,2023-05-27,2023-05-29,충청남도 보령시 머드로 123,충청남도 보령시 신흑동 2267-3,충청남도 보령시 머드로 123,36.3155689,126.5108285
제2회 보령AMC모터페스티벌,2023-05-27,2023-05-29,충청남도 보령시 주포면 대학길 106,충청남도 보령시 주포면 관산리 290-1,충청남도 보령시 주포면 대학길,36.4076056,126.5787552
2023 김포 아라마린페스티벌,2023-05-27,2023-05-28,,경기도 김포시 고촌읍 전호리 661,경기도 김포시 고촌읍 전호리,37.5893457,126.7896346
가족뮤지컬 티티체리-용의 생일파티를 도와라,2023-05-28,2023-05-28,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
시간을 파는 상점,2023-05-29,2023-05-29,제주특별자치도 제주시 관덕로 11길 6,,제주특별자치도 제주시 관덕로 11길,33.5147271,126.5254922
3월 시민을 위한 무료영화,2023-05-30,2023-05-30,제주특별자치도 제주시 신대로12길 52,,제주특별자치도 제주시 신대로12길 52,33.4890539,126.4914878
제21회 장미축제,2023-05-30,2023-06-01,강원도 원주시 장미공원길 67-16,강원도 원주시 단계동 853-3,강원도 원주시 장미공원길 67-16,37.345889,127.9311756
서귀포관악단 즐거운주말 토요힐링콘서트,2023-05-31,2023-05-31,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,제주특별자치도 서귀포시 안덕면 일주서로2100번길,33.2579183,126.2941
피아니스트 이루마 공연,2023-06-01,2023-06-01,제주특별자치도 서귀포시 표선면 돈오름로 170,,제주특별자치도 서귀포시 표선면 돈오름로,33.3311619,126.8093177
2023 제주국제관악제 <봄 시즌>,2023-06-02,2023-06-02,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
2023 김포 평화누리길 걷기 행사,2023-06-03,2023-06-03,,경기도 김포시 대곶면 대명리 551-19,경기도 김포시 대곶면 대명리,37.6491563,126.5528763
용연음악회,2023-06-03,2023-06-03,,제주특별자치도 제주시 용담2동 2581,제주특별자치도 제주시 용담2동 2581,33.5084457,126.4990864
제15회 청도유등제,2023-06-03,2022-06-06,,경상북도 청도군 화양읍 송북리 98-3,경상북도 청도군 화양읍 송북리,35.6560588,128.7298654
캐리tv러브콘서트,2023-06-03,2023-06-03,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
서귀포성악동호회 발표회,2023-06-04,2023-06-04,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
3월 문화가 있는날 벨레주트리오<비가>,2023-06-05,2023-06-05,제주특별자치도 서귀포시 산록남로 2847-37,,제주특별자치도 서귀포시 산록남로 2847-37,33.3067015,126.5852773
제6회 서귀포청소년오케스트라 유명연주자초청공개강좌&마에스트로콘서트,2023-06-06,2023-06-06,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
김정문화회관 기획공연 가족 뮤지컬<생각나라 과자집>,2023-06-07,2023-06-07,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
양양문화제,2023-06-08,2023-06-10,,강원도 양양군 양양읍 남문리 226-2,강원도 양양군 양양읍 남문리,38.0720146,128.6208156
서귀포관악단 즐거운주말 토요힐링콘서트,2023-06-08,2023-06-08,제주특별자치도 서귀포시 표선면 녹산로 381-15,,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
속리산 신화여행축제,2023-06-09,2023-06-11,충청북도 보은군 보은읍 군청길 38,충청북도 보은군 보은읍 이평리 45,충청북도 보은군 보은읍 군청길,36.4873421,127.7286098
플레리뮤지컬<핑크퐁과 아기상어의 생일파티>,2023-06-09,2023-06-09,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
한산모시문화제,2023-06-09,2023-06-11,충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,충청남도 서천군 한산면 충절로,36.0999831,126.8234639
제9회 무안황토갯벌축제,2023-06-09,2023-06-11,전라남도 무안군 해제면 용산길 140,전라남도 무안군 해제면 유월리 1-1,전라남도 무안군 해제면 용산길,35.099646,126.3292114
제2회 소아베브라스 정기연주회,2023-06-10,2023-06-10,제주특별자치도 제주시 중앙로 2,,제주특별자치도 제주시 중앙로 2,33.5178929,126.524212
봉래산발복기원제,2023-06-11,2023-06-11,부산광역시 영도구 벚꽃길 1,부산광역시 영도구 청학동 산54-4,부산광역시 영도구 벚꽃길 1,35.0864492,129.0590775
인어공주,2023-06-11,2023-06-11,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
서귀포합창단 제76회 정기연주회,2023-06-12,2023-06-12,제주특별자치도 제주시 애월읍 화전길 201,,제주특별자치도 제주시 애월읍 화전길,33.3491148,126.3819841
2023년 한국해사주간 및 장관급 콘퍼런스,2023-06-14,2023-06-16,서울특별시 중구 동호로 249,서울특별시 중구 장충동2가 202,서울특별시 중구 동호로 249,37.5567496,127.0060352
충주DIVE페스티벌,2023-06-15,2023-06-18,충청북도 충주시 중앙탑면 중앙탑길 150,충청북도 충주시 중앙탑면 탑평리 137,충청북도 충주시 중앙탑면 중앙탑길,37.0199278,127.8621977
충주DIVE페스티벌,2023-06-15,2023-06-18,충청북도 충주시 중앙로 128,충청북도 충주시 성내동 215,충청북도 충주시 중앙로 128,36.970659,127.9371825
대구 북구 떡볶이 페스티벌,2023-06-16,2023-06-18,,대구광역시 북구 고성동3가 2,대구광역시 북구 고성동3가 2,35.8814242,128.5876905
2023 광주문화재야행,2023-06-16,2023-06-17,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,광주광역시 동구 서남로 1,35.1458908,126.9230497
2023 태화강마두희축제,2023-06-23,2023-06-25,울산광역시 중구 시계탑거리 4,,울산광역시 중구 시계탑거리 4,35.5551142,129.3216031
제27회 부천국제판타스틱영화제,2023-06-29,2023-07-09,경기도 부천시 길주로 210,경기도 부천시 중동 1156,경기도 부천시 길주로 210,37.502918,126.76591
제24회 용전들노래 정기공연,2023-07-01,2023-07-31,광주광역시 북구 용전마을길 42(용전동),광주광역시 북구 용전동 171-3,광주광역시 북구 용전마을길 42,35.2387596,126.8972191
춘장대해수욕장 여름문화예술축제,2023-07-01,2023-07-01,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,충청남도 서천군 서면 춘장대길,36.1610955,126.5227713
제18회 국제매직페스티벌,2023-07-01,2023-07-01,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
제7회 반송한마음축제,2023-07-01,2023-07-01,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
치악산찰옥수수축제,2023-07-01,2023-07-01,,강원도 원주시 문막읍 문막리 329-45,강원도 원주시 문막읍 문막리,37.3084395,127.8217113
제22회 탐라국악제,2023-07-01,2023-07-01,제주특별자치도 제주시 전농로 40 삼도1동행정복지센터,,제주특별자치도 제주시 전농로 40,33.5042624,126.5173257
서귀포청소년오케스트라 협주곡의 밤,2023-07-02,2023-07-02,제주특별자치도 제주시 애월읍 장전로 106 장전리사무소,,제주특별자치도 제주시 애월읍 장전로,33.4521198,126.3908329
제41회 대한민국연극제 본선대회 초청공연,2023-07-03,2023-07-03,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
김도연 첼로 솔로 연주회,2023-07-04,2023-07-04,제주특별자치도 제주시 구좌읍 김녕로 209,,제주특별자치도 제주시 구좌읍 김녕로,33.5541269,126.7553151
제14회 제주나눔오케스트라 정기연주회,2023-07-05,2023-07-05,제주특별자치도 서귀포시 표선면 녹산로 381-15,,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
Jeju Music Festival with Vietnam National Academy of Music & Repitore,2023-07-06,2023-07-06,제주특별자치도 제주시 우도면 우도해안길 70,,제주특별자치도 제주시 우도면 우도해안길,33.5065528,126.9549021
금산삼계탕축제,2023-07-07,2023-07-09,충청남도 금산군 금산읍 인삼광장로 30,충청남도 금산군 금산읍 신대리 392,충청남도 금산군 금산읍 인삼광장로,36.0995894,127.5004625
이은결의 매직 앤 일루션- 제주,2023-07-07,2023-07-07,제주특별자치도 서귀포시 남원읍 서성로 788,,제주특별자치도 서귀포시 남원읍 서성로,33.3188775,126.6742738
이은결의 매직 앤 일루션- 제주,2023-07-08,2023-07-08,제주특별자치도 서귀포시 대정읍 가파로 2,,제주특별자치도 서귀포시 대정읍 가파로,33.169671,126.2725676
이은결의 매직 앤 일루션- 제주,2023-07-09,2023-07-09,제주특별자치도 서귀포시 이어도로 668,,제주특별자치도 서귀포시 이어도로 668,33.2336881,126.4875701
이은결의 매직 앤 일루션- 제주,2023-07-10,2023-07-10,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,제주특별자치도 제주시 한림읍 한림중앙로,33.4012313,126.2707027
더 쇼콰이어 하모나이즈 초청 공연,2023-07-11,2023-07-11,제주특별자치도 제주시 한경면 노을해안로 1100,,제주특별자치도 제주시 한경면 노을해안로,33.2978379,126.167856
도립제주교향악단 제165회 정기연주회,2023-07-12,2023-07-12,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
제21회 부여서동연꽃축제,2023-07-13,2023-07-16,,충청남도 부여군 부여읍 동남리 117,충청남도 부여군 부여읍 동남리,36.2748938,126.9125236
제17회 2023 제주특별자치도소년소녀합창단연합합창제,2023-07-13,2023-07-13,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
곡성아이스크림페스티벌,2023-07-14,2023-07-16,전라남도 곡성군 곡성읍 곡성로 855,전라남도 곡성군 곡성읍 읍내리 254,전라남도 곡성군 곡성읍 곡성로,35.2606832,127.2726252
3 Legendary Musical Singers,2023-07-14,2023-07-14,제주특별자치도 제주시 관덕로 11길 6,,제주특별자치도 제주시 관덕로 11길,33.5147271,126.5254922
싹온스크린 영상 상영 <윤보선 고택 쌀롱 콘서트>,2023-07-15,2023-07-15,제주특별자치도 제주시 신대로12길 52,,제주특별자치도 제주시 신대로12길 52,33.4890539,126.4914878
제41회 대한민국연극제 제주대회,2023-07-16,2023-07-16,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,제주특별자치도 서귀포시 안덕면 일주서로2100번길,33.2579183,126.2941
그루브인관악 페스티벌,2023-07-16,2023-07-17,서울특별시 관악구 신원로 35,서울특별시 관악구 신림동 1638-1,서울특별시 관악구 신원로 35,37.4822382,126.9289185
어린이뮤지컬 <스토니즈-더 어드벤처>,2023-07-17,2023-07-17,제주특별자치도 서귀포시 표선면 돈오름로 170,,제주특별자치도 서귀포시 표선면 돈오름로,33.3311619,126.8093177
제26회 무안연꽃추제,2023-07-20,2023-07-23,전라남도 무안군 일로읍 백련로 333,전라남도 무안군 일로읍 복룡리 150,전라남도 무안군 일로읍 백련로,34.8638116,126.5184968
제26회 보령머드축제,2023-07-21,2023-08-06,충청남도 보령시 고잠2길 55,충청남도 보령시 신흑동 2283-1,충청남도 보령시 고잠2길 55,36.3120992,126.5164116
삼척비치썸페스티벌,2023-07-26,2023-07-30,강원도 강원도 삼척시청 테마타운길 19,강원도 강원도 삼척시청 갈천동 14,강원도 강원도 삼척시청 테마타운길,37.4683536,129.1678544
한여름밤의 예술공연,2023-07-27,2023-08-02,제주특별자치도 제주시 중앙로 2,,제주특별자치도 제주시 중앙로 2,33.5178929,126.524212
제15회 향수옥천 포도·복숭아 축제,2023-07-28,2022-07-30,충청북도 옥천군 옥천읍 관성로 53,충청북도 옥천군 옥천읍 문정리 390,충청북도 옥천군 옥천읍 관성로,36.301962,127.5722771
제9회 양평 워터워 페스티벌(양평 물축제),2023-07-28,2023-07-30,경기도 양평군 옥천면 옥천체육공원길 66,경기도 양평군 옥천면 옥천리 767,경기도 양평군 옥천면 옥천체육공원길,37.521712,127.4584462
하동 섬진강문화재첩축제,2023-07-28,2023-07-30,경상남도 하동군 하동읍 섬진강대로 2107-8,,경상남도 하동군 하동읍 섬진강대로,35.0827153,127.7326079
제13회 남한강축제,2023-07-29,2023-07-30,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,강원도 원주시 부론면 앙암로,37.2060659,127.7480366
합천바캉스축제,2023-07-29,2023-08-06,경상남도 합천군 대양면 동부로 39-19,경상남도 합천군 대양면 정양리 613-2,경상남도 합천군 대양면 동부로,35.5555535,128.1682073
봉화은어축제,2023-07-29,2023-08-06,,경상북도 봉화군 봉화읍 내성리 506,경상북도 봉화군 봉화읍 내성리,36.8868176,128.7407815
제4회 新송도해변축제,2023-07-29,2023-08-06,,인천광역시 연수구 송도동 1,인천광역시 연수구 송도동 1,37.3952846,126.6597511
제16회_정남진_장흥_물축제,2023-07-29,2023-08-06,,전라남도 장흥군 장흥읍 건산리 805,전라남도 장흥군 장흥읍 건산리,34.6788346,126.9099175
치악산복숭아축제,2023-08-01,2023-08-01,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,강원도 원주시 단구로 170,37.3361369,127.9465482
영동포도축제,2023-08-01,2023-08-01,충청북도 영동군 영동읍 영동황간로 122,충청북도 영동군 영동읍 매천리 313,충청북도 영동군 영동읍 영동황간로,36.1721555,127.8096581
송정해변축제,2023-08-01,2023-08-01,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
고서포도축제,2023-08-01,2023-08-30,전라남도 담양군 고서면 가사문학로 325,전라남도 담양군 고서면 동운리 583-4,전라남도 담양군 고서면 가사문학로,35.2254992,126.9717799
제27회 부산바다축제,2023-08-01,2023-08-01,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
2023 통영한산대첩축제,2023-08-03,2023-08-12,경상남도 통영시 세병로 27(문화동),경상남도 통영시 문화동 62,경상남도 통영시 세병로 27,34.8482246,128.4227749
인천펜타포트 음악축제,2023-08-04,2023-08-06,인천광역시 연수구 센트럴로 350,,인천광역시 연수구 센트럴로 350,37.4063111,126.6352338
현인가요제,2023-08-04,2023-08-06,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,부산광역시 서구 송도해변로 100,35.0761426,129.0177503
진주 M2(뮤직&미디어)페스티벌,2023-08-04,2023-08-06,경상남도 진주시 강남로 320 아래 둔치,경상남도 진주시 망경동 110-1 아래 둔치,경상남도 진주시 강남로 320,35.1871912,128.0820912
제천국제음악영화제,2023-08-10,2023-08-15,충청북도 제천시 의림대로12길 14-1,충청북도 제천시 청전동 110,충청북도 제천시 의림대로12길 14-1,37.1293522,128.2064117
안심창조밸리 연꽃마을 축제,2023-08-12,2023-08-15,,대구광역시 동구 괴전동 401-2,대구광역시 동구 괴전동 401-2,35.8695226,128.7353079
박물관문화향연,2023-08-12,2023-08-12,서울특별시 용산구 서빙고로 137,,서울특별시 용산구 서빙고로 137,37.5230368,126.982235
거문도백도은빛바다체험행사,2023-08-12,2022-08-14,전라남도 여수시 삼산면 거문길 28-10,전라남도 여수시 삼산면 거문리 111-35,전라남도 여수시 삼산면 거문길,34.0274965,127.3108468
2023 유성재즈 맥주페스타,2023-08-18,2023-08-20,대전광역시 유성구 어은로 22,대전광역시 유성구 봉명동 1013-1,대전광역시 유성구 어은로 22,36.3601527,127.3574409
함양연암문화제,2023-08-25,2023-08-26,,경상남도 함양군 안의면 금천리 241,경상남도 함양군 안의면 금천리,35.6297513,127.813404
제6회_회령포_문화축제,2023-08-31,2023-09-02,,전라남도 장흥군 장흥읍 건산리 805,전라남도 장흥군 장흥읍 건산리,34.6788346,126.9099175
2023년 강남심포니오케스트라 제99회 정기연주회,2023-08-31,2023-08-31,서울특별시 송파구 올림픽로 300 롯데월드몰,,서울특별시 송파구 올림픽로 300,37.5131008,127.1034334
어린이뮤지컬 <스토니즈-더 어드벤처>,2023-08-31,2023-08-31,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
싹온스크린 영상 상영 인형극 <달래이야기>,2023-09-01,2023-09-01,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
제5회 인제가을꽃축제,2023-09-01,2023-10-31,,강원도 인제군 남면 부평리 555-2,강원도 인제군 남면 부평리,37.9894237,128.116951
홍원항 자연산 전어.꽃게 축제,2023-09-01,2023-09-01,충청남도 서천군 서면 홍원길 130-3,충청남도 서천군 서면 도둔리 1222-7,충청남도 서천군 서면 홍원길,36.1548159,126.5024804
괴산고추축제,2023-09-01,2023-09-01,충청북도 괴산군 괴산읍 임꺽정로 90,충청북도 괴산군 괴산읍 서부리 125,충청북도 괴산군 괴산읍 임꺽정로,36.8171682,127.779397
제23회 섬강축제,2023-09-01,2023-09-03,강원도 원주시 소금산길 12,강원도 원주시 지정면 간현리 1056-24,강원도 원주시 소금산길 12,37.3645753,127.8340586
금호강 바람소리길축제,2023-09-01,2023-10-31,,대구광역시 북구 산격동 1477-1,대구광역시 북구 산격동 1477-1,35.9087206,128.6015099
광양전어축제,2023-09-01,2023-09-01,전라남도 광양시 진월면 망덕길 265,전라남도 광양시 진월면 망덕리 12-1,전라남도 광양시 진월면 망덕길,34.9711778,127.7558902
모차르트 오페라 <마술피리>,2023-09-02,2023-09-02,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
제27회 무주반딧불축제,2023-09-02,2023-09-10,전라북도 무주군 무주읍 한풍루로 326-14,전라북도 무주군 무주읍 당산리 1118,전라북도 무주군 무주읍 한풍루로,36.0026426,127.662574
모차르트 오페라 <마술피리>,2023-09-03,2023-09-03,제주특별자치도 서귀포시 산록남로 2847-37,,제주특별자치도 서귀포시 산록남로 2847-37,33.3067015,126.5852773
도립제주예술단 기획연주회,2023-09-04,2023-09-04,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
제75주년 4.3 전야제- 다시부르는 바람,2023-09-05,2023-09-05,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
창작오페라 <순이삼촌>,2023-09-06,2023-09-06,제주특별자치도 서귀포시 표선면 녹산로 381-15,,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
창작오페라 <순이삼촌>,2023-09-07,2023-09-07,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
제36회 지용제,2023-09-07,2022-09-10,충청북도 옥천군 옥천읍 매동로 209,충청북도 옥천군 옥천읍 상계리 14-2,충청북도 옥천군 옥천읍 매동로,36.3116876,127.5883576
지용제,2023-09-07,2023-09-10,충청북도 옥천군 옥천읍 관성로 35,충청북도 옥천군 옥천읍 문정리 476,충청북도 옥천군 옥천읍 관성로,36.301962,127.5722771
<연꽃으로 피어나리> BTN 불교 TV남성중창단 제주교류 연주,2023-09-08,2023-09-08,제주특별자치도 제주시 중앙로 2,,제주특별자치도 제주시 중앙로 2,33.5178929,126.524212
싹온스크린 영상 상영 발레 <심청>,2023-09-09,2023-09-09,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
INK 콘서트,2023-09-09,2023-09-09,인천광역시 미추홀구 매소홀로 618,,인천광역시 미추홀구 매소홀로 618,37.4360098,126.6909264
임동민 피아노 리사이틀,2023-09-10,2023-09-10,제주특별자치도 제주시 애월읍 화전길 201,,제주특별자치도 제주시 애월읍 화전길,33.3491148,126.3819841
제주 4. 3 가록물 유네스코세계기록유산등재기원음악회,2023-09-11,2023-09-11,제주특별자치도 제주시 전농로 40 삼도1동행정복지센터,,제주특별자치도 제주시 전농로 40,33.5042624,126.5173257
어린이 북 콘서트 <퍼플엘리>,2023-09-12,2023-09-12,제주특별자치도 제주시 애월읍 장전로 106 장전리사무소,,제주특별자치도 제주시 애월읍 장전로,33.4521198,126.3908329
크쉬시토프 야블론스키 리싸이틀,2023-09-13,2023-09-13,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
정선아리랑제,2023-09-14,2023-09-17,강원도 정선군 정선읍 봉양3길 17,강원도 정선군 정선읍 봉양리 253-1,강원도 정선군 정선읍 봉양3길,37.3799788,128.6606272
원주삼토페스티벌,2023-09-14,2023-09-17,강원도 원주시 서원대로 311,강원도 원주시 명륜동 342,강원도 원주시 서원대로 311,37.3365966,127.9437813
도립제주교향악단 제164회 정기연주회,2023-09-14,2023-09-14,제주특별자치도 제주시 구좌읍 김녕로 209,,제주특별자치도 제주시 구좌읍 김녕로,33.5541269,126.7553151
제36회 제주대학교 윈드심포니 정기연주회,2023-09-15,2023-09-15,제주특별자치도 서귀포시 표선면 녹산로 381-15,,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
2023년 김창옥 토크 콘서트,2023-09-16,2023-09-16,제주특별자치도 제주시 우도면 우도해안길 70,,제주특별자치도 제주시 우도면 우도해안길,33.5065528,126.9549021
제4회 양평부추축제,2023-09-16,2023-09-17,경기도 양평군 양동면 양동역길 19,경기도 양평군 양동면 쌍학리 223-2,경기도 양평군 양동면 양동역길,37.420173,127.7532135
여수여자만갯벌노을체험행사,2023-09-16,2023-09-17,전라남도 여수시 소라면 서부로 785-24,,전라남도 여수시 소라면 서부로,34.7807751,127.5899143
2023 수원화성 미디어아트쇼,2023-09-16,2023-10-15,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,경기도 수원시 팔달구 정조로,37.2760021,127.0155369
치악산왕발걸음축제,2023-09-16,2023-09-16,강원도 원주시 소초면 평장동길 86-16,강원도 원주시 소초면 평장리 823-7,강원도 원주시 소초면 평장동길,37.4163132,128.001427
팔공산 왕건축제,2023-09-16,2023-09-16,,대구광역시 동구 지묘동 1220-19,대구광역시 동구 지묘동 1220-19,35.9426762,128.6427008
히사이조 영화음악 콘서트,2023-09-17,2023-09-17,제주특별자치도 서귀포시 남원읍 서성로 788,,제주특별자치도 서귀포시 남원읍 서성로,33.3188775,126.6742738
가족 뮤지컬 <어린이 CAT>,2023-09-18,2023-09-18,제주특별자치도 서귀포시 대정읍 가파로 2,,제주특별자치도 서귀포시 대정읍 가파로,33.169671,126.2725676
도립제주교향악단 제163회 정기연주회,2023-09-19,2023-09-19,제주특별자치도 서귀포시 이어도로 668,,제주특별자치도 서귀포시 이어도로 668,33.2336881,126.4875701
