서울특별시 종로구,서울특별시 용산구,서울특별시 송파구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 남구,부산광역시 해운대구,부산광역시 사하구,부산광역시 강서구,부산광역시 수영구,부산광역시 기장군,대구광역시 중구,대구광역시 동구,대구광역시 수성구,인천광역시 중구,인천광역시 연수구,인천광역시 강화군,광주광역시 서구,대전광역시 중구,대전광역시 유성구,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,경기도 수원시 팔달구,경기도 안산시 단원구,경기도 용인시 처인구,경기도 파주시,경기도 이천시,경기도 광주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 고성군,강원도 양양군,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 단양군,충청남도 천안시 동남구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 당진시,충청남도 부여군,충청남도 서천군,충청남도 홍성군,충청남도 예산군,충청남도 태안군,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 완주군,전라북도 무주군,전라북도 고창군,전라북도 부안군,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 영광군,전라남도 완도군,전라남도 진도군,전라남도 신안군,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 상주시,경상북도 문경시,경상북도 청송군,경상북도 영덕군,경상북도 울진군,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 창녕군,경상남도 남해군,경상남도 하동군,경상남도 함양군,제주특별자치도 제주시,제주특별자치도 서귀포시
227014,195714,258802,58718,65279,64324,158526,73858,222433,75128,100340,116951,218396,125958,151913,120849,206749,130080,94779,108976,105181,127991,68521,101373,54493,80123,140740,144704,121509,192227,113692,146692,97989,78966,29812,99576,128916,101283,91286,195620,55951,19897,131680,52232,75108,48295,21814,99928,35815,25161,74203,107189,80611,60581,75168,46032,20582,30628,106493,81659,118531,98563,69679,53097,83258,42508,43097,46023,54106,85558,111386,83954,95107,59645,35216,31574,55300,47441,34116,51977,87401,115457,78124,48210,37795,58401,20967,33548,35349,40422,25621,22196,32761,26768,46723,31741,25812,18855,28287,132219,149103,196347,37780,61853,69952,31121,37920,33443,24930,106905,54830,65831,77624,71301,123269,59875,109971,35631,52240,27634,18431,170261,
215180,195331,236284,46702,67182,51214,150267,61769,202355,59068,88863,94054,148618,135593,163491,108484,128358,113208,56525,105743,99237,117365,63131,94051,38201,68025,134449,113890,100465,147602,99631,113866,77866,63705,21809,70775,90079,77763,76731,111950,33510,14070,76232,32464,54389,32877,15827,66006,27751,19563,40132,51161,77637,55039,62476,35360,15799,23092,104078,66754,64045,78850,50450,41209,56192,31267,29068,32001,40258,54695,95154,75022,66494,52301,28757,25506,45230,39047,26831,32270,65767,79819,67321,38499,31576,50418,15755,20092,21158,33023,15939,15365,23522,21967,37507,20089,18431,14526,18918,89569,97862,144204,32619,51568,64858,24695,33508,29682,16086,43612,30934,58168,55772,48361,109953,49815,81337,30368,32657,20710,14802,165735,136641
243712,161224,227201,44743,60631,36341,140000,54919,132008,44478,72711,70447,71509,134898,103815,93172,80997,74053,23401,94664,77747,102915,51887,89637,24334,42911,111401,94184,74580,92641,72746,77771,47422,38424,13290,35542,47375,51441,49604,67447,20262,8214,43607,19298,26832,16768,8540,32295,13723,9252,20388,23471,65374,46723,36193,21516,7932,9386,78051,39217,28758,58930,31752,30077,31059,16594,15085,20786,23402,24001,74875,71122,40871,39914,19179,15402,33083,16544,14697,15242,49085,50382,45866,28947,23811,24159,7714,9891,9938,21470,9044,9513,16101,18181,24794,11689,12717,9507,11666,59364,54976,70906,20404,30335,48661,14762,20004,15762,7231,17463,13567,41710,30061,27871,76068,22489,44348,16635,14650,9437,7585,155232,112854
268854,173179,242123,46052,61605,37428,146435,56861,134693,46569,76098,71659,72638,140772,103984,95890,86539,78607,23096,95559,77960,108038,53936,92908,25908,44456,115081,98129,82791,99562,78838,84223,49655,39559,14211,33560,44590,51794,50711,65323,19152,8736,39884,19167,26069,15462,9123,29806,13692,9794,19107,23314,68075,48581,36269,21957,8076,9835,79908,39600,28978,63647,31394,26713,32586,16037,15608,22204,24189,23031,75912,72915,40557,40775,19829,15987,35086,15712,15062,15104,49296,50633,45899,30910,25553,25300,6881,10790,11033,21929,9355,10689,17679,19657,26488,12457,12375,10562,12219,60352,57013,70737,21066,30678,50751,14471,20814,15721,7703,17299,13417,41837,31412,28339,78459,23016,44871,17025,13905,9616,7695,150044,115541
279046,185655,248928,46300,61868,37590,146011,58280,131705,46710,77135,71805,69866,140703,107876,94876,89322,82283,23822,98550,80067,110616,57059,93706,25792,45405,117427,101024,86196,101138,79075,85300,51649,40229,13567,32980,46938,52080,52132,64510,19232,9612,41945,18927,26940,16661,9571,29369,14325,10133,19326,21550,71638,49789,37795,22021,8223,9855,81826,40274,27967,64476,31613,26551,33507,16811,15443,23210,24586,23271,76294,73459,41158,40721,20844,15583,34597,15351,14903,14319,49675,50671,45907,31579,25987,24531,6819,10910,10244,21539,9590,10230,17367,19794,25458,12273,12956,10987,12366,60449,56192,69888,23113,31360,53269,14910,20142,15950,7714,16951,12962,41843,31672,27604,80702,22354,44311,16670,13072,9320,7789,149210,109214
287896,191894,258125,46800,64561,37923,152445,58419,138847,48612,78577,76596,75194,142224,109510,98872,93226,85995,25895,101765,83796,116604,56862,96653,27374,48868,120971,103578,91836,106415,83420,89236,54976,42863,14939,35216,49996,55258,54120,66419,20156,9003,44935,20036,28498,18569,9675,32160,15293,11206,19422,22856,74139,51489,40279,22595,9126,10793,85153,42250,29621,67473,34102,30044,36004,17757,15871,25584,25413,23698,79352,75797,42948,43105,20847,16334,37666,16887,16035,15039,50677,51762,47590,33301,28060,25999,6913,11043,10888,23496,9548,10671,17939,20467,26772,13253,12241,10598,11697,63144,58840,73033,22643,33662,53689,16157,21787,17478,8003,17972,14031,44473,31967,29576,83858,23443,44671,17080,13892,10369,8373,159212,124716
305753,218417,283636,47831,73620,41466,166668,64759,155892,54952,90243,83563,82835,156584,124359,112263,102985,96528,32350,116099,92422,126277,60755,106599,28837,52714,135890,113174,98082,113842,92160,102165,59386,46335,16438,45465,60904,64481,65242,79112,22494,10423,55108,22481,38967,22336,11692,43685,18933,12065,23612,29189,82625,57909,47388,27710,10026,13543,94632,49463,35664,75045,37826,31542,39209,20471,19538,27365,28701,29386,89967,84929,49916,49019,24219,18248,39659,21128,18227,17838,55632,61789,56220,37043,30241,28990,8383,13395,12712,25309,11803,11998,19117,22479,29343,14150,13884,12004,13634,69454,67955,85182,25077,38246,60871,19080,25992,20875,9130,20594,16768,49725,38303,32182,91659,26864,51896,19842,17094,11755,10472,170013,131235
335452,253725,326398,50744,71526,56036,213020,74506,215661,67319,94564,107828,138555,188500,172851,140997,139786,135811,56311,141705,119220,159692,75768,117495,36437,69430,185301,137900,124373,164269,114440,135606,90116,64934,23668,72998,113528,93202,89681,119055,33923,15817,82968,30893,61584,34290,16738,70877,26438,21379,36693,47243,98686,71469,69852,39774,14804,21760,121087,72778,68143,96634,52946,44872,55217,31520,28933,37434,42980,50999,119928,97542,71536,59412,30917,24864,52313,40134,25891,28817,66685,79872,69907,43846,34285,48954,15643,19740,20734,37229,15653,16976,24979,24367,38081,20657,17567,14774,18900,91878,99185,131539,32636,51756,69756,26360,32805,26972,16037,38521,25874,66399,56029,46362,118850,46386,70524,27582,26912,18388,15963,175482,147061
247726,213657,262771,47901,63360,48421,155813,61331,189935,57307,85459,84184,146599,151571,161948,109420,130974,112679,54192,103684,96485,132702,64125,94988,34820,64707,147369,117856,107063,160104,99968,118308,85465,62313,23995,81470,125509,81579,76892,108281,29218,14521,73368,29315,55376,32027,15631,66812,27714,20993,34313,48012,80560,59558,60786,34460,14779,21002,104510,66600,61186,79415,46517,41765,48945,30271,26573,33698,39814,46520,94145,77801,62377,52305,26629,23213,48138,38880,24284,28739,56455,74776,59580,38974,31690,51043,13876,18378,20103,34454,13781,16279,23373,22077,30577,20210,16625,13664,17550,79383,94095,139623,30420,49237,62919,23668,29304,24851,17496,37680,25146,55180,51330,44205,111656,51226,68016,29412,27168,18677,16030,173035,146167
274330,181973,253618,48293,66160,40319,157423,61084,142244,50152,80370,77230,75559,143600,114523,102083,91398,89877,25310,103033,84309,115763,59704,98044,28340,46889,128533,103911,89039,103068,83922,90389,55349,44764,14147,39164,51895,58853,58317,76960,22536,9545,52630,22287,31714,25330,9747,37854,17874,12222,23683,28159,74948,53982,43077,23679,8731,10288,85958,42876,30860,67821,33603,33490,40039,18272,15335,23873,26323,24819,82597,81571,45547,45467,21612,16677,38419,19857,15643,16489,51221,57549,50255,33444,28583,26394,7878,12376,10974,24148,9833,11090,18321,20959,27501,13726,13868,10896,12532,67351,63961,79597,22574,34831,55290,16161,21465,17599,8683,20045,15130,52601,34329,29079,86009,23679,49302,17282,14952,10675,8572,177177,135068
